LeadNumber,CustomerId,PrimaryContactId,LeadName,DealSize,City,State,Country,BudgetAmount
S_LeadNumber1,300100188392213,8590174593,S_LeadName1,98,RWS,CA,US,93
S_LeadNumber2,123,8590174593,S_LeadName2,28,RWS,CA,US,55
S_LeadNumber3,8590174592,8590174593,S_LeadName3,88,RWS,CA,US,86
S_LeadNumber4,8590174592,8590174593,S_LeadName4,18,RWS,CA,US,28
S_LeadNumber5,8590174592,8590174593,S_LeadName5,17,RWS,CA,US,20
S_LeadNumber6,8590174592,8590174593,S_LeadName6,76,RWS,CA,US,71
S_LeadNumber7,8590174592,8590174593,S_LeadName7,50,RWS,CA,US,36
S_LeadNumber8,8590174592,8590174593,S_LeadName8,98,RWS,CA,US,62
S_LeadNumber9,8590174592,8590174593,S_LeadName9,29,RWS,CA,US,46
S_LeadNumber10,8590174592,8590174593,S_LeadName10,3,RWS,CA,US,67
S_LeadNumber11,8590174592,8590174593,S_LeadName11,90,RWS,CA,US,66
S_LeadNumber12,8590174592,8590174593,S_LeadName12,16,RWS,CA,US,25
S_LeadNumber13,8590174592,8590174593,S_LeadName13,76,RWS,CA,US,43
S_LeadNumber14,8590174592,8590174593,S_LeadName14,28,RWS,CA,US,44
,8590174592,8590174593,S_LeadName15,77,RWS,CA,US,58
S_LeadNumber16,8590174592,8590174593,S_LeadName16,50,RWS,CA,US,42
S_LeadNumber17,8590174592,8590174593,S_LeadName17,54,RWS,CA,US,34
S_LeadNumber18,8590174592,8590174593,S_LeadName18,36,RWS,CA,US,87
S_LeadNumber19,8590174592,8590174593,S_LeadName19,94,RWS,CA,US,80
S_LeadNumber20,8590174592,8590174593,S_LeadName20,25,RWS,CA,US,58
S_LeadNumber21,8590174592,8590174593,S_LeadName21,45,RWS,CA,US,48
S_LeadNumber22,8590174592,8590174595,S_LeadName22,59,RWS,CA,US,52
S_LeadNumber23,8590174592,8590174595,S_LeadName23,93,RWS,CA,US,80
S_LeadNumber24,8590174592,8590174595,S_LeadName24,25,RWS,CA,US,34
S_LeadNumber25,8590174592,8590174595,S_LeadName25,45,RWS,CA,US,57
S_LeadNumber26,8590174592,8590174595,S_LeadName26,1,RWS,CA,US,66
S_LeadNumber27,8590174592,8590174595,S_LeadName27,93,RWS,CA,US,4
S_LeadNumber28,8590174592,8590174595,S_LeadName28,86,RWS,CA,US,71
S_LeadNumber29,8590174592,300100176735718,S_LeadName29,93,RWS,CA,US,15
S_LeadNumber30,8590174592,8590174595,S_LeadName30,99,RWS,CA,US,72
S_LeadNumber31,8590174592,8590174595,S_LeadName31,82,RWS,CA,US,94
S_LeadNumber32,8590174592,8590174595,S_LeadName32,12,RWS,CA,US,51
S_LeadNumber33,8590174592,8590174595,S_LeadName33,45,RWS,CA,US,11
S_LeadNumber34,8590174592,8590174595,S_LeadName34,49,RWS,CA,US,10
S_LeadNumber35,8590174592,8590174595,S_LeadName35,58,RWS,CA,US,97
S_LeadNumber36,8590174592,8590174595,S_LeadName36,86,RWS,CA,US,2
S_LeadNumber37,8590174592,8590174595,S_LeadName37,20,RWS,CA,US,28
S_LeadNumber38,8590174592,8590174595,S_LeadName38,61,RWS,CA,US,35
S_LeadNumber39,8590174592,8590174595,S_LeadName39,69,RWS,CA,US,34
S_LeadNumber40,8590174592,8590174595,S_LeadName40,41,RWS,CA,US,31
S_LeadNumber41,8590174592,8590174595,S_LeadName41,62,RWS,CA,US,50
S_LeadNumber42,8590174592,8590174595,S_LeadName42,76,RWS,CA,US,20
S_LeadNumber43,8590174592,8590174595,S_LeadName43,10,RWS,CA,US,47
S_LeadNumber44,8590174592,8590174595,S_LeadName44,15,RWS,CA,US,79
S_LeadNumber45,8590174592,8590174595,S_LeadName45,86,RWS,CA,US,63
S_LeadNumber46,8590174592,8590174595,S_LeadName46,72,RWS,CA,US,50
S_LeadNumber47,8590174592,8590174595,S_LeadName47,16,RWS,CA,US,73
S_LeadNumber48,8590174592,8590174595,S_LeadName48,25,RWS,CA,US,82
S_LeadNumber49,8590174592,8590174595,S_LeadName49,59,RWS,CA,US,19
S_LeadNumber50,8590174592,8590174595,S_LeadName50,41,RWS,CA,US,91
S_LeadNumber51,8590174592,8590174595,S_LeadName51,92,RWS,CA,US,64
S_LeadNumber52,8590174592,8590174595,S_LeadName52,53,RWS,CA,US,11
S_LeadNumber53,8590174592,8590174595,S_LeadName53,73,RWS,CA,US,5
S_LeadNumber54,8590174592,8590174595,S_LeadName54,48,RWS,CA,US,47
S_LeadNumber55,8590174592,8590174595,S_LeadName55,5,RWS,CA,US,10
S_LeadNumber56,8590174592,8590174595,S_LeadName56,96,RWS,CA,US,22
S_LeadNumber57,8590174592,8590174595,S_LeadName57,6,RWS,CA,US,32
S_LeadNumber58,8590174592,8590174595,S_LeadName58,20,RWS,CA,US,37
S_LeadNumber59,8590174592,8590174595,S_LeadName59,23,RWS,CA,US,22
S_LeadNumber60,8590174592,8590174595,S_LeadName60,19,RWS,CA,US,55
S_LeadNumber61,8590174592,8590174595,S_LeadName61,93,RWS,CA,US,98
S_LeadNumber62,8590174592,8590174595,S_LeadName62,20,RWS,CA,US,85
S_LeadNumber63,8590174592,8590174595,S_LeadName63,45,RWS,CA,US,34
S_LeadNumber64,8590174592,8590174595,S_LeadName64,74,RWS,CA,US,61
S_LeadNumber65,8590174592,8590174595,S_LeadName65,9,RWS,CA,US,25
S_LeadNumber66,8590174592,8590174595,S_LeadName66,67,RWS,CA,US,13
S_LeadNumber67,8590174592,8590174595,S_LeadName67,30,RWS,CA,US,74
S_LeadNumber68,8590174592,8590174595,S_LeadName68,71,RWS,CA,US,92
S_LeadNumber69,8590174592,8590174595,S_LeadName69,23,RWS,CA,US,41
S_LeadNumber70,8590174592,8590174595,S_LeadName70,42,RWS,CA,US,66
S_LeadNumber71,8590174592,8590174595,S_LeadName71,3,RWS,CA,US,14
S_LeadNumber72,8590174592,8590174595,S_LeadName72,38,RWS,CA,US,36
S_LeadNumber73,8590174592,8590174595,S_LeadName73,10,RWS,CA,US,61
S_LeadNumber74,8590174592,8590174595,S_LeadName74,63,RWS,CA,US,69
S_LeadNumber75,8590174592,8590174595,S_LeadName75,76,RWS,CA,US,5
S_LeadNumber76,8590174592,8590174595,S_LeadName76,86,RWS,CA,US,88
S_LeadNumber77,8590174592,8590174595,S_LeadName77,97,RWS,CA,US,9
S_LeadNumber78,8590174592,8590174595,S_LeadName78,35,RWS,CA,US,81
S_LeadNumber79,8590174592,8590174595,S_LeadName79,33,RWS,CA,US,76
S_LeadNumber80,8590174592,8590174595,S_LeadName80,97,RWS,CA,US,41
S_LeadNumber81,8590174592,8590174595,S_LeadName81,52,RWS,CA,US,53
S_LeadNumber82,8590174592,8590174595,S_LeadName82,4,RWS,CA,US,6
S_LeadNumber83,8590174592,8590174595,S_LeadName83,72,RWS,CA,US,8
S_LeadNumber84,8590174592,8590174595,S_LeadName84,100,RWS,CA,US,13
S_LeadNumber85,8590174592,8590174595,S_LeadName85,36,RWS,CA,US,62
S_LeadNumber86,8590174592,8590174595,S_LeadName86,59,RWS,CA,US,90
S_LeadNumber87,8590174592,8590174595,S_LeadName87,52,RWS,CA,US,83
S_LeadNumber88,8590174592,8590174595,S_LeadName88,36,RWS,CA,US,95
S_LeadNumber89,8590174592,8590174595,S_LeadName89,73,RWS,CA,US,73
S_LeadNumber90,8590174592,8590174595,S_LeadName90,47,RWS,CA,US,37
S_LeadNumber91,8590174592,8590174595,S_LeadName91,36,RWS,CA,US,78
S_LeadNumber92,8590174592,8590174595,S_LeadName92,28,RWS,CA,US,94
S_LeadNumber93,8590174592,8590174595,S_LeadName93,36,RWS,CA,US,98
S_LeadNumber94,8590174592,8590174595,S_LeadName94,14,RWS,CA,US,40
S_LeadNumber95,8590174592,8590174595,S_LeadName95,47,RWS,CA,US,68
S_LeadNumber96,8590174592,8590174595,S_LeadName96,97,RWS,CA,US,83
,8590174592,8590174595,S_LeadName97,40,RWS,CA,US,10
S_LeadNumber98,8590174592,8590174595,S_LeadName98,11,RWS,CA,US,31
S_LeadNumber99,8590174592,8590174595,S_LeadName99,26,RWS,CA,US,100
S_LeadNumber100,8590174592,8590174595,S_LeadName100,16,RWS,CA,US,85
S_LeadNumber101,8590174592,8590174595,S_LeadName101,43,RWS,CA,US,35
S_LeadNumber102,8590174592,8590174595,S_LeadName102,75,RWS,CA,US,58
S_LeadNumber103,8590174592,8590174595,S_LeadName103,100,RWS,CA,US,97
S_LeadNumber104,8590174592,8590174595,S_LeadName104,38,RWS,CA,US,6
S_LeadNumber105,8590174592,8590174595,S_LeadName105,91,RWS,CA,US,48
S_LeadNumber106,8590174592,8590174595,S_LeadName106,45,RWS,CA,US,37
S_LeadNumber107,8590174592,8590174595,S_LeadName107,84,RWS,CA,US,72
S_LeadNumber108,8590174592,8590174595,S_LeadName108,19,RWS,CA,US,8
S_LeadNumber109,3001883921231200,8590174595,S_LeadName109,22,RWS,CA,US,46
S_LeadNumber110,8590174592,8590174595,S_LeadName110,50,RWS,CA,US,44
S_LeadNumber111,8590174592,8590174595,S_LeadName111,99,RWS,CA,US,1
S_LeadNumber112,8590174592,8590174595,S_LeadName112,83,RWS,CA,US,7
S_LeadNumber113,8590174592,8590174595,S_LeadName113,44,RWS,CA,US,46
S_LeadNumber114,8590174592,8590174595,S_LeadName114,38,RWS,CA,US,14
S_LeadNumber115,8590174592,8590174595,S_LeadName115,90,RWS,CA,US,59
S_LeadNumber116,8590174592,8590174595,S_LeadName116,62,RWS,CA,US,99
S_LeadNumber117,8590174592,8590174595,S_LeadName117,61,RWS,CA,US,88
S_LeadNumber118,8590174592,8590174595,S_LeadName118,88,RWS,CA,US,72
S_LeadNumber119,8590174592,8590174595,S_LeadName119,54,RWS,CA,US,43
S_LeadNumber120,8590174592,8590174595,S_LeadName120,84,RWS,CA,US,52
S_LeadNumber121,8590174592,8590174595,S_LeadName121,77,RWS,CA,US,26
S_LeadNumber122,8590174592,8590174595,S_LeadName122,67,RWS,CA,US,41
S_LeadNumber123,300100188392215,300100176735718,S_LeadName123,33,RWS,CA,US,68
