ProdGroupId,Language,SourceLang,ProdGroupName,AdminProdGroupName
109876540066014,KO,KO,Books & Media,Books & Media
109876540066015,KO,KO,Toys & Games,Toys & Games
109876540066016,KO,KO,Home Decor,Home Decor
109876540066012,KO,KO,Summer Promotions ,Summer Promotions 
109876540066013,KO,KO,Office Products ,Office Products 
100000020172000,KO,KO,PRM Programs,PRM Programs
100000020172002,KO,KO,Reseller Programs ,Reseller Programs 
100000020172005,KO,KO,Distributor Programs ,Distributor Programs 
100000011628071,KO,KO,Drives,Drives
100000011628074,KO,KO,Memory,Memory
100000011628077,KO,KO,Accessories,Accessories
100000011628080,KO,KO,Service Plans,Service Plans
100000011628035,KO,KO,DS Series,DS Series
100000011628038,KO,KO,Pro Series,Pro Series
100000011628041,KO,KO,LS Series,LS Series
100000011628044,KO,KO,Vario Series,Vario Series
100000011628047,KO,KO,Sentinel Series ,Sentinel Series 
100000011628050,KO,KO,ElitePro Series ,ElitePro Series 
100000011628053,KO,KO,EliteVario Series ,EliteVario Series 
100000011628056,KO,KO,UltraPro Series ,UltraPro Series 
100000011628061,KO,KO,UltraVario Series ,UltraVario Series 
100000011628064,KO,KO,Monitors,Monitors
999997826070841,KO,KO,Oracle Utilities Work and Asset Management Business Intelligence        ,Oracle Utilities Work and Asset Management Business Intelligence        
999997826070842,KO,KO,Oracle Utilities Work and Asset Management Integration       ,Oracle Utilities Work and Asset Management Integration       
999997826070843,KO,KO,OPN - World License ,OPN - World License 
999997826070844,KO,KO,Oracle Enterprise Tax Management   ,Oracle Enterprise Tax Management   
999997826070845,KO,KO,Enterprise Taxation Management   ,Enterprise Taxation Management   
999997826070846,KO,KO,Oracle Enterprise Taxation Management - Other     ,Oracle Enterprise Taxation Management - Other     
999997826070847,KO,KO,Oracle Enterprise Taxation Management Third Party Applications        ,Oracle Enterprise Taxation Management Third Party Applications        
999997826070848,KO,KO,Oracle Utilities Quotations Management    ,Oracle Utilities Quotations Management    
999997826070849,KO,KO,Oracle Utilities Rate Management   ,Oracle Utilities Rate Management   
999997826070850,KO,KO,JD Edwards EnterpriseOne Bundles   ,JD Edwards EnterpriseOne Bundles   
999997826070851,KO,KO,External Reclasses - PeopleSoft Applications     ,External Reclasses - PeopleSoft Applications     
100000011628005,US,US,Electronics,Electronics
100000011628007,US,US,Computer Systems,Computer Systems
100000011628012,US,US,Desktops,Desktops
100000011628015,US,US,Laptops,Laptops
100000011628018,US,US,Servers,Servers
100000011628021,US,US,Components ,Components 
100000011628024,US,US,Office Equipment,Office Equipment
100000011628027,US,US,Printers,Printers
100000011628030,US,US,Projectors,Projectors
999997826070852,KO,KO,OPN - Enterprise License  ,OPN - Enterprise License  
999997826070853,KO,KO,Oracle Service Optimization   ,Oracle Service Optimization   
999997826070854,KO,KO,Oracle Enterprise RealTime Scheduling - Other     ,Oracle Enterprise RealTime Scheduling - Other     
