leadNumber,customerId,primaryContactId,leadName,DealSize,city,state,Country,BudgetAmount
S_LeadNumber1,300100188392213,300100176763002,S_LeadName1,98,RWS,CA,USA,93
S_LeadNumber2,123,300100176763002,S_LeadName2,28,RWS,CA,USA,55
S_LeadNumber3,300100188392205,300100176763002,S_LeadName3,88,RWS,CA,USA,86
S_LeadNumber4,300100188392205,300100176763002,S_LeadName4,18,RWS,CA,USA,28
S_LeadNumber5,300100188392205,300100176763002,S_LeadName5,17,RWS,CA,USA,20
S_LeadNumber6,300100188392205,300100176763002,S_LeadName6,76,RWS,CA,USA,71
S_LeadNumber7,300100188392205,300100176763002,S_LeadName7,50,RWS,CA,USA,36
S_LeadNumber8,300100188392205,300100176763002,S_LeadName8,98,RWS,CA,USA,62
S_LeadNumber9,300100188392205,300100176763002,S_LeadName9,29,RWS,CA,USA,46
S_LeadNumber10,300100188392205,300100176763002,S_LeadName10,3,RWS,CA,USA,67
S_LeadNumber11,300100188392205,300100176763002,S_LeadName11,90,RWS,CA,USA,66
S_LeadNumber12,300100188392205,300100176763002,S_LeadName12,16,RWS,CA,USA,25
S_LeadNumber13,300100188392205,300100176763002,S_LeadName13,76,RWS,CA,USA,43
S_LeadNumber14,300100188392205,300100176763002,S_LeadName14,28,RWS,CA,USA,44
,300100188392205,300100176763002,S_LeadName15,77,RWS,CA,USA,58
S_LeadNumber16,300100188392205,300100176763002,S_LeadName16,50,RWS,CA,USA,42
S_LeadNumber17,300100188392205,300100176763002,S_LeadName17,54,RWS,CA,USA,34
S_LeadNumber18,300100188392205,300100176763002,S_LeadName18,36,RWS,CA,USA,87
S_LeadNumber19,300100188392205,300100176763002,S_LeadName19,94,RWS,CA,USA,80
S_LeadNumber20,300100188392205,300100176763002,S_LeadName20,25,RWS,CA,USA,58
S_LeadNumber21,300100188392205,300100176763002,S_LeadName21,45,RWS,CA,USA,48
S_LeadNumber22,300100188392205,300100176735708,S_LeadName22,59,RWS,CA,USA,52
S_LeadNumber23,300100188392205,300100176735708,S_LeadName23,93,RWS,CA,USA,80
S_LeadNumber24,300100188392205,300100176735708,S_LeadName24,25,RWS,CA,USA,34
S_LeadNumber25,300100188392205,300100176735708,S_LeadName25,45,RWS,CA,USA,57
S_LeadNumber26,300100188392205,300100176735708,S_LeadName26,1,RWS,CA,USA,66
S_LeadNumber27,300100188392205,300100176735708,S_LeadName27,93,RWS,CA,USA,4
S_LeadNumber28,300100188392205,300100176735708,S_LeadName28,86,RWS,CA,USA,71
S_LeadNumber29,300100188392205,300100176735718,S_LeadName29,93,RWS,CA,USA,15
S_LeadNumber30,300100188392205,300100176735708,S_LeadName30,99,RWS,CA,USA,72
S_LeadNumber31,300100188392205,300100176735708,S_LeadName31,82,RWS,CA,USA,94
S_LeadNumber32,300100188392205,300100176735708,S_LeadName32,12,RWS,CA,USA,51
S_LeadNumber33,300100188392205,300100176735708,S_LeadName33,45,RWS,CA,USA,11
S_LeadNumber34,300100188392205,300100176735708,S_LeadName34,49,RWS,CA,USA,10
S_LeadNumber35,300100188392205,300100176735708,S_LeadName35,58,RWS,CA,USA,97
S_LeadNumber36,300100188392205,300100176735708,S_LeadName36,86,RWS,CA,USA,2
S_LeadNumber37,300100188392205,300100176735708,S_LeadName37,20,RWS,CA,USA,28
S_LeadNumber38,300100188392205,300100176735708,S_LeadName38,61,RWS,CA,USA,35
S_LeadNumber39,300100188392205,300100176735708,S_LeadName39,69,RWS,CA,USA,34
S_LeadNumber40,300100188392205,300100176735708,S_LeadName40,41,RWS,CA,USA,31
S_LeadNumber41,300100188392205,300100176735708,S_LeadName41,62,RWS,CA,USA,50
S_LeadNumber42,300100188392205,300100176735708,S_LeadName42,76,RWS,CA,USA,20
S_LeadNumber43,300100188392205,300100176735708,S_LeadName43,10,RWS,CA,USA,47
S_LeadNumber44,300100188392205,300100176735708,S_LeadName44,15,RWS,CA,USA,79
S_LeadNumber45,300100188392205,300100176735708,S_LeadName45,86,RWS,CA,USA,63
S_LeadNumber46,300100188392205,300100176735708,S_LeadName46,72,RWS,CA,USA,50
S_LeadNumber47,300100188392205,300100176735708,S_LeadName47,16,RWS,CA,USA,73
S_LeadNumber48,300100188392205,300100176735708,S_LeadName48,25,RWS,CA,USA,82
